지방청,정 원,인 구,1인당 담당인구
서울특별시,"27,001","9,857,426",365
부산광역시,"8,757","3,470,653",396
대구광역시,"5,478","2,475,231",452
인천광역시,"6,035","2,948,542",489
광주광역시,"3,271","1,463,770",447
대전광역시,"3,031","1,502,227",496
울산광역시,"2,425","1,165,132",480
경기도남부,"16,444","9,516,571",579
경기도북부,"5,753","3,357,324",584
강원도,"4,152","1,550,142",373
충청북도,"3,457","1,594,432",461
충청남도,"4,729","2,396,870",507
전라북도,"4,723","1,854,607",393
전라남도,"5,239","1,896,424",362
경상북도,"6,235","2,691,706",432
경상남도,"6,593","3,380,404",513
제주특별자치도,"1,647","657,083",399
